Class,Confidence,X,Y,Width,Height,Timestamp
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,318,106,521,428
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,323,105,527,431
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,312,116,518,423
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,295,113,510,426
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,291,115,489,422
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,278,112,491,421
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,285,111,487,424
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,293,112,488,423
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,300,115,502,422
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,303,107,514,431
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,305,109,517,427
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,304,112,511,427
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,300,110,507,425
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,298,112,506,426
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,296,110,509,426
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,305,112,508,430
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,310,105,514,428
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,316,114,519,422
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,304,118,520,435
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,280,121,485,426
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,271,136,484,434
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,262,118,468,431
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,246,118,456,430
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,248,112,455,436
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,251,114,455,434
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,249,114,459,434
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,254,119,461,426
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,261,115,465,433
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,262,120,470,432
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,261,115,470,430
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,265,123,469,428
